home_tract,work_tract,flow_jobs
31001966100,31055003600,1
31001966100,31055006504,2
31001966100,31055006505,2
31001966100,31055006701,3
31001966100,31055006803,1
31001966100,31055006805,1
31001966100,31055007001,1
31001966100,31055007003,1
31001966100,31055007409,2
31001966100,31055007440,1
31001966100,31055007444,1
31001966100,31055007452,1
31001966100,31055007508,1
31001966100,31055007509,2
31001966100,31055007519,1
31001966100,31055007521,1
31001966200,31055000500,1
31001966200,31055001600,1
31001966200,31055003100,3
31001966200,31055004000,1
31001966200,31055004400,2
31001966200,31055004800,1
31001966200,31055006505,1
31001966200,31055006701,1
31001966200,31055006703,1
31001966200,31055007001,1
31001966200,31055007312,1
31001966200,31055007407,1
31001966200,31055007409,5
31001966200,31055007439,2
31001966200,31055007445,1
31001966200,31055007457,1
31001966200,31055007466,1
31001966200,31055007473,2
31001966200,31055007474,2
31001966200,31055007504,1
31001966200,31055007515,1
31003979600,31055001600,2
31003979600,31055001800,2
31003979600,31055002900,1
31003979600,31055003100,1
31003979600,31055004400,1
31003979600,31055006301,1
31003979600,31055006701,4
31003979600,31055006905,1
31003979600,31055007001,5
31003979600,31055007002,1
31003979600,31055007312,1
31003979600,31055007315,1
31003979600,31055007440,2
31003979600,31055007448,2
31003979600,31055007449,4
31003979600,31055007455,1
31003979600,31055007464,1
31003979600,31055007474,1
31003979600,31055007516,2
31003979600,31055007519,2
31003979700,31055001600,1
31003979700,31055001800,2
31003979700,31055002400,1
31003979700,31055003100,1
31003979700,31055004200,1
31003979700,31055004400,2
31003979700,31055005100,2
31003979700,31055006605,1
31003979700,31055006701,2
31003979700,31055006805,1
31003979700,31055007001,3
31003979700,31055007317,1
31003979700,31055007406,2
31003979700,31055007409,1
31003979700,31055007439,1
31003979700,31055007449,1
31003979700,31055007452,1
31003979700,31055007457,1
31003979700,31055007467,1
31003979700,31055007474,1
31003979700,31055007522,3
31003979800,31055000400,1
31003979800,31055001600,2
31003979800,31055001800,3
31003979800,31055002500,1
31003979800,31055002600,1
31003979800,31055002700,1
31003979800,31055002900,2
31003979800,31055003100,1
31003979800,31055003600,1
31003979800,31055004000,1
31003979800,31055005100,1
31003979800,31055006302,1
31003979800,31055006701,1
31003979800,31055006803,2
31003979800,31055006805,1
31003979800,31055006806,1
31003979800,31055007003,1
31003979800,31055007304,1
31003979800,31055007316,1
31003979800,31055007318,2
31003979800,31055007406,1
31003979800,31055007409,2
31003979800,31055007432,1
31003979800,31055007443,1
31003979800,31055007449,2
31003979800,31055007452,1
31003979800,31055007456,2
31003979800,31055007457,1
31003979800,31055007471,2
31003979800,31055007474,4
31003979800,31055007504,2
31003979800,31055007515,3
31003979800,31055007518,2
31003979800,31055007519,1
31003979800,31055007522,6
31005958300,31055004000,1
31005958300,31055004200,1
31005958300,31055006806,1
31005958300,31055007312,1
31007954000,31055000400,1
31007954000,31055002200,1
31007954000,31055003100,1
31007954000,31055006400,1
31007954000,31055006803,1
31007954000,31055007432,1
31007954000,31055007474,2
31009972400,31055002900,1
31009972400,31055007003,1
31009972400,31055007409,1
31009972400,31055007439,1
31009972400,31055007505,1
31011960100,31055000500,1
31011960100,31055000700,1
31011960100,31055001600,3
31011960100,31055001800,3
31011960100,31055002900,1
31011960100,31055003700,1
31011960100,31055003900,1
31011960100,31055004000,2
